Symbol,Volume
DLTR,3406798.000000
DMLP,12883.000000
DMRC,59288.000000
DORM,17613.000000
DOX,257509.000000
DRIO,135026.000000
DRIOW,17154.000000
DRNA,469807.000000
DRRX,780134.000000
DSGX,61193.000000
DSPG,62154.000000
DSWL,5836.000000
DTEA,91895.000000
DVAX,1593398.000000
DVCR,0.000000
DWAT,0.000000
DWFI,38970.000000
DWIN,21128.000000
DWSN,107272.000000
DXCM,529285.000000
DXGE,0.000000
DXJS,1579.000000
DXLG,90098.000000
DXPE,26634.000000
DXYN,89105.000000
DYNT,590619.000000
DYSL,582.000000
DZSI,29560.000000
EA,1189331.000000
EAC,3554.000000
EARS,177139.000000
EBAY,4410150.000000
EBIX,221396.000000
EBMT,29204.000000
EBSB,56760.000000
EBTC,2128.000000
ECHO,39003.000000
ECOL,55796.000000
ECPG,500319.000000
EDAP,100907.000000
EDIT,1364792.000000
EDUC,15674.000000
EEFT,50693.000000
EEMA,48095.000000
EFOI,109723.000000
EFSC,44870.000000
EGAN,185868.000000
EGBN,24724.000000
EGHT,288483.000000
EGLE,22578.000000
EGOV,294242.000000
EGRX,52967.000000
EHTH,351114.000000
EIGR,90207.000000
EKSO,103037.000000
ELSE,2304.000000
ELTK,5948.000000
EMCB,779.000000
EMCF,4205.000000
EMIF,6756.000000
EMITF,0.000000
EMKR,388255.000000
EML,6412.000000
EMMS,0.000000
ENDP,1972470.000000
ENG,635360.000000
ENPH,2411842.000000
ENSG,74432.000000
ENTA,50720.000000
ENTG,304866.000000
ENZL,3450.000000
EPAY,107107.000000
EPIX,105876.000000
EPZM,381850.000000
EQBK,12621.000000
EQFN,0.000000
EQIX,232312.000000
ERIC,3113750.000000
ERIE,11512.000000
ERII,165894.000000
ESBK,5403.000000
ESCA,8556.000000
ESEA,18809.000000
ESG,429.000000
ESGD,165991.000000
ESGE,523694.000000
ESGG,1218.000000
ESGR,33975.000000
ESLT,10866.000000
ESMC,12275.000000
ESPR,209101.000000
ESSA,18132.000000
ESXB,83100.000000
ETSY,4430871.000000
EUFN,615973.000000
EVGBC,0.000000
EVK,56912.000000
EVLMC,0.000000
EVOK,174858.000000
EVOL,246793.000000
EVSTC,0.000000
EWBC,269170.000000
EWZS,53390.000000
EXAS,624664.000000
EXEL,374103.000000
EXFO,78307.000000
EXLS,49692.000000
EXPD,250440.000000
EXPE,1379783.000000
EXPO,43258.000000
EXTR,505907.000000
EYEG,49638.000000
EYES,185723.000000
EZPW,111901.000000
FAAR,7360.000000
FAB,1615.000000
FAD,1279.000000
FALC,835.000000
FALN,181487.000000
FANG,1874427.000000
FARM,128079.000000
FARO,43246.000000
FAST,1169682.000000
FATE,473899.000000
FB,8087032.000000
FBIO,2453463.000000
FBIZ,13855.000000
FBMS,23093.000000
FBNC,74027.000000
FBSS,750.000000
FBZ,0.000000
FCA,0.000000
FCAP,1967.000000
FCBC,30876.000000
FCCO,19689.000000
FCCY,5799.000000
FCEL,13223068.000000
FCNCA,16965.000000
FCVT,4311.000000
FDIV,1064.000000
FDT,6698.000000
FDTS,35.000000
FDUS,65895.000000
FEIM,266.000000
FELE,40344.000000
FEM,103531.000000
FEMB,50399.000000
FEMS,17112.000000
FEP,13416.000000
FEUZ,582.000000
FEX,8170.000000
FEYE,1501680.000000
FFBC,371898.000000
